transcript_id	WT_2mos	TG_2mos	WT_4mos	TG_4mos	WT_6mos	WT_8mos	TG_8mos	TG_6mos
PB.359.3	1	0	0	0	0	3	0	0
PB.36.1	3	1	0	1	0	2	0	0
PB.36.10	0	0	0	0	1	0	2	0
PB.36.11	18	11	20	16	28	21	13	15
PB.36.12	2	3	5	2	1	1	1	0
PB.36.13	3	6	1	0	4	1	0	1
PB.36.14	2	1	1	0	2	3	0	0
PB.36.15	5	2	1	2	3	0	0	1
PB.36.16	0	0	3	1	2	1	1	0
PB.36.2	48	38	32	24	47	50	27	18
PB.36.3	0	0	0	0	2	0	0	0
PB.36.4	349	326	304	239	388	380	192	156
PB.36.5	121	71	79	63	116	90	52	54
PB.36.6	3	2	3	2	1	4	1	0
PB.36.7	2	3	2	1	1	1	1	0
PB.36.8	3	2	1	1	4	1	2	0
PB.36.9	0	1	2	0	1	4	2	2
PB.360.1	0	1	0	1	0	0	0	0
PB.360.2	1	0	0	1	1	1	1	1
PB.362.1	1	0	0	0	0	0	1	1
PB.362.2	1	0	1	0	0	1	1	2
PB.362.3	2	0	3	0	0	1	1	2
PB.363.1	0	1	0	0	0	1	0	0
PB.365.1	1	1	0	1	2	1	2	2
PB.367.2	0	1	1	0	0	0	0	0
PB.368.1	0	1	0	1	0	0	0	2
PB.369.1	0	0	0	0	0	0	0	2
PB.369.2	1	0	1	0	0	0	0	0
PB.369.3	0	0	1	0	1	0	0	0
PB.369.5	0	0	1	0	1	0	0	0
PB.37.1	9	13	18	15	27	19	8	5
PB.37.2	2	0	2	2	1	1	1	0
PB.37.3	0	1	0	0	1	0	1	0
PB.370.2	9	22	14	17	3	9	7	9
PB.371.1	1	0	0	1	2	1	2	2
PB.371.2	1	0	0	1	0	0	0	1
PB.373.1	0	2	0	0	0	0	2	0
PB.374.1	9	6	4	15	4	4	2	4
PB.374.10	4	9	5	5	4	10	3	0
PB.374.2	4	3	7	1	5	2	2	5
PB.374.4	1	0	0	1	0	0	0	0
PB.374.5	1	0	0	0	1	0	0	0
PB.376.1	0	0	0	1	0	0	1	0
PB.377.1	0	0	1	0	0	1	0	1
PB.377.2	0	0	0	1	0	0	0	1
PB.378.2	0	0	1	1	0	0	0	0
PB.378.3	1	0	1	0	0	0	0	1
PB.38.1	12	8	17	12	7	10	5	8
PB.38.2	0	0	2	0	4	0	1	1
PB.38.3	1	1	1	0	1	0	2	0
PB.380.1	0	1	0	0	1	0	0	1
PB.381.1	0	1	0	0	0	0	1	0
PB.381.2	0	0	2	1	0	0	0	1
PB.382.1	1	1	1	0	0	0	0	1
PB.384.1	0	1	0	0	0	0	1	0
PB.384.2	1	1	1	2	0	0	0	0
PB.384.3	0	0	0	2	1	1	0	0
PB.384.4	0	0	1	0	1	0	0	1
PB.386.1	0	0	1	0	0	1	0	0
PB.387.1	0	0	0	1	0	0	1	0
PB.387.2	0	1	1	1	0	0	0	1
PB.387.3	1	0	0	1	0	0	0	0
PB.388.1	1	0	0	0	0	0	0	1
PB.389.1	1	1	2	1	0	0	5	0
PB.39.1	0	1	0	0	0	0	0	2
